Anyo,Consumo,Eólica,Solar,Hidráulica,Nuclear,Carbón
2000,242522,8587,0,7664.58,0,0
2001,293480,10281,0,13227.40,0,0
2002,291182,18740,0,8763.74,0,0
2003,305622,20399,0,19659.43,0,0
2004,328341,18594,0,21152.04,0,0
2005,337981,20001,0,22138.72,0,0
2006,342304,21703,0,26027.90,0,0
2007,353699,22814,0,24088.86,0,0
2008,358150,22174,0,6600.48,0,0
2009,330324,18397,0,3968.27,0,0
2010,334987,26307,0,7521.82,0,0
2011,337904,30425,8815,10981.48,0,0
2012,315187,44744,10241,5107,0,0
2013,281028,48071,10160,7152,0,0
2014,271213,51230,10032,10077,0,0
