Anyo,Consumo,Eólica,Solar,Hidráulica,Nuclear,Carbón
2000,1121422,11140,0,19046.94,1050013,0
2001,1247162,13117,0,20539.90,931726.83,0
2002,1288559,24949,0,22333.86,1041009,0
2003,1371650,32543,0,27512.69,974385,0
2004,1449746,59337,0,30783.7,1055323,0
2005,1465223,69057,0,59104.1,959106,0
2006,1454421,111111,0,68954.80,1001172,0
2007,1538961,134837,0,91474.42,907484,0
2008,1477735,159325,0,5960.32,1047775,0
2009,1432356,215527,0,7432.8,932909,0
2010,1482356,237184,0,9877.47,999966,0
2011,1406254,268644,3058,6327.54,976610,0
2012,1272419,340467,3473,5866,1011046,0
2013,1129092,386597,3795,6849,0,0
2014,1064449,363933,3917,7768,0,0
