Anyo,Consumo,Eólica,Solar,Hidráulica,Nuclear,Carbón
2000,905255,0,0,7664.58,0,2696889
2001,1043143,0,0,13227.4,0,2389104
2002,1007869,0,0,8763.74,0,2207886
2003,1085972,5299,0,19659.43,0,2198313
2004,1135914,7857,0,21152.04,0,2152631
2005,1147532,11586,0,22138.72,0,2023527
2006,1164998,11468,0,26027.9,0,2019091
2007,1258244,12496,0,24088.86,0,1886220
2008,1231854,19560,0,6600.48,0,1677471
2009,1120796,34040,0,3968.27,0,1391265
2010,1133218,43726,0,7521.82,0,1080298
2011,1076715,62130,6285,10981.48,0,814387.30
2012,1002908,69098,6758,5107,0,734358
2013,900154,69225,6664,7152,0,452924
2014,882629,74439,6551,10077,0,479538
