Anyo,Consumo,Eólica,Solar,Hidráulica,Nuclear,Carbón
2000,438867,0,0,16586.99,0,248492
2001,501669,2543,0,26941.91,0,237661
2002,474868,4562,0,14233.17,0,212658
2003,481643,13518,0,21979.45,0,200269
2004,501024,20410,0,21146.37,0,186719
2005,505315,24776,0,34237.46,0,213807
2006,493476,24463,0,37508.81,0,219936
2007,521720,35402,0,38345.68,0,196750
2008,498605,64609,0,10264.61,0,52893
2009,485903,91621,0,11806.62,0,118105
2010,545376,97764,0,18998.41,0,88997
2011,522936,109293,3249,12064.72,0,71114.60
2012,472489,128743,3707,7937,0,15793
2013,447830,156015,3989,14738,0,30108
2014,433493,145140,4034,18567,0,18761
