Anyo,Consumo,Eólica,Solar,Hidráulica,Nuclear,Carbón
2000,477620,0,0,362550.89,0,0
2001,519307,0,0,685671.64,0,0
2002,522977,0,0,307605.83,0,0
2003,559387,0,0,639854.96,0,0
2004,610573,0,0,451798.42,0,0
2005,623256,4769,0,197820.55,0,0
2006,756282,6367,0,308910.88,0,0
2007,841758,5951,0,469505.91,0,0
2008,817532,5544,0,282778.23,0,0
2009,823020,8126,0,267000.86,0,0
2010,824122,8850,0,588141.51,0,0
2011,795761,12369,8360,461655.46,0,0
2012,691204,32153,8998,330007,0,0
2013,665997,35688,8999,346350,0,0
2014,665759,34412,8708,528961,0,0
