Anyo,Consumo,Eólica,Solar,Hidráulica,Nuclear,Carbón
2000,352479,396,0,624.53,0,0
2001,415105,2821,0,894.74,0,0
2002,433927,3120,0,6945.62,0,0
2003,472001,3120,0,11729.37,0,0
2004,456791,2412,0,1669.09,0,0
2005,472463,7709,0,3325.02,0,0
2006,496073,7941,0,3317.45,0,0
2007,513856,7382,0,7157.26,0,0
2008,482732,7631,0,644.38,0,0
2009,474831,7673,0,639.39,0,0
2010,486195,8074,0,859.18,0,0
2011,463352,7059,3774,603.76,0,0
2012,425464,7786,3783,356,0,0
2013,387137,8571,3709,930,0,0
2014,345224,8074,3720,995,0,0
