Anyo,Consumo,Eólica,Solar,Hidráulica,Nuclear,Carbón
2000,208752,20485,0,6846.89,0,0
2001,215474,23497,0,8409.6,0,0
2002,218802,34537,0,6266.13,0,0
2003,292376,34537,0,7616.76,0,0
2004,321918,54853,0,8179.12,0,0
2005,318676,107239,0,22116.02,0,0
2006,316835,114548,0,34663.16,0,0
2007,346746,120774,0,46775.14,0,0
2008,364467,128059,0,1124.61,0,0
2009,372566,183166,0,1584.03,0,0
2010,387017,197053,0,1575.71,0,0
2011,360996,181690,2774,1794.41,0,0
2012,344890,242558,3000,970,0,0
2013,330927,258238,2785,2200,0,0
2014,252622,253848,2901,2480,0,0
