Anyo,Consumo,Eólica,Solar,Hidráulica,Nuclear,Carbón
2000,972434,0,0,16951.12,0,0
2001,1098564,0,0,5552.85,0,0
2002,1089501,0,0,4097.21,0,0
2003,1201955,0,0,7534.2,0,0
2004,1317746,0,0,6629.22,0,0
2005,1403186,0,0,3456.34,0,0
2006,1407295,0,0,4979.06,0,0
2007,1308527,0,0,5535.48,0,0
2008,1276437,16964,0,580.16,0,0
2009,1194125,21220,0,571.99,0,0
2010,1206216,19452,0,817.93,0,0
2011,1145823,24887,15664,590.38,0,0
2012,1081380,29068,18379,279,0,0
2013,1036398,36378,20448,714,0,0
2014,948614,34630,20625,740,0,0
