Anyo,Consumo,Eólica,Solar,Hidráulica,Nuclear,Carbón
2000,360848,0,0,170715.5,0,0
2001,415362,3173,0,248588.16,0,0
2002,423489,24132,0,112139.53,0,0
2003,447322,24312,0,288886.38,0,0
2004,478857,37819,0,179134.3,0,0
2005,490215,52628,0,97797.74,0,0
2006,519124,55183,0,190872.01,0,0
2007,521395,56961,0,216744.77,0,0
2008,505458,56291,0,101279.35,0,0
2009,469476,80264,0,125491.57,0,0
2010,487257,80609,0,276252.64,0,0
2011,461968,76520,10890,184069.6,0,0
2012,405236,90846,12439,72872,0,0
2013,394803,108750,12265,187382,0,0
2014,370998,106097,12170,247806,0,0
